Epoch: 1, Train Loss: 2.456532979045402, Val Loss: 1.843426985007066, Took 0:03:14.501591, ETA: 0:29:10.514319

Epoch: 2, Train Loss: 1.666906954551285, Val Loss: 1.5706279433690584, Took 0:03:15.263771, ETA: 0:26:02.110168

Epoch: 3, Train Loss: 1.4749180461195381, Val Loss: 1.5047685806567852, Took 0:03:14.182646, ETA: 0:22:39.278522

Epoch: 4, Train Loss: 1.3487133592028508, Val Loss: 1.4104948612359853, Took 0:03:14.300417, ETA: 0:19:25.802502

Epoch: 5, Train Loss: 1.2589271862737157, Val Loss: 1.3828967085251442, Took 0:03:14.295250, ETA: 0:16:11.476250

Epoch: 6, Train Loss: 1.196053683249788, Val Loss: 1.392567201761099, Took 0:03:14.062577, ETA: 0:12:56.250308

Epoch: 7, Train Loss: 1.1352567400105975, Val Loss: 1.352607678450071, Took 0:03:14.416004, ETA: 0:09:43.248012

Epoch: 8, Train Loss: 1.0760095236314968, Val Loss: 1.38963767015017, Took 0:03:14.382862, ETA: 0:06:28.765724

Epoch: 9, Train Loss: 1.0183870761909268, Val Loss: 1.3658583824451154, Took 0:03:14.386842, ETA: 0:03:14.386842

Epoch: 10, Train Loss: 0.9740683552385732, Val Loss: 1.3776457419762245, Took 0:03:15.029858, ETA: 0:00:00

Test Performance: Loss: 1.3699293990256423, Perplexity: 3.9350728656845755, Bleu1: 66.45067359720515, Bleu4: 8.355223384169937
