Epoch: 1, Train Loss: 2.553693042390726, Val Loss: 1.9540007352828979, Took 0:03:24.929605, ETA: 0:30:44.366445

Epoch: 2, Train Loss: 1.7609295702793382, Val Loss: 1.6575463542571434, Took 0:03:34.032922, ETA: 0:28:32.263376

Epoch: 3, Train Loss: 1.5447734392840753, Val Loss: 1.5046886205673218, Took 0:03:25.646601, ETA: 0:23:59.526207

Epoch: 4, Train Loss: 1.3938917070627213, Val Loss: 1.458414600445674, Took 0:03:31.643443, ETA: 0:21:09.860658

Epoch: 5, Train Loss: 1.3084113281220198, Val Loss: 1.4001365496562077, Took 0:03:25.675517, ETA: 0:17:08.377585

Epoch: 6, Train Loss: 1.219802574339238, Val Loss: 1.3875394830336938, Took 0:03:26.725310, ETA: 0:13:46.901240

Epoch: 7, Train Loss: 1.1620690507644957, Val Loss: 1.369627281335684, Took 0:03:31.563237, ETA: 0:10:34.689711

Epoch: 8, Train Loss: 1.1079164767129854, Val Loss: 1.3400986964886006, Took 0:03:32.534169, ETA: 0:07:05.068338

Epoch: 9, Train Loss: 1.0527624687687918, Val Loss: 1.3446775042093717, Took 0:03:26.009873, ETA: 0:03:26.009873

Epoch: 10, Train Loss: 0.9899151391265067, Val Loss: 1.365441916539119, Took 0:03:31.981531, ETA: 0:00:00

Test Performance: Loss: 1.3638287540209495, Perplexity: 3.9111394618927244, Bleu1: 65.58258876710816, Bleu4: 7.46974033998352
